id,NAME,ABS2012,FN2012,ABS2007,FN2007,ABS2002,FN2002,ABS1995,FN1995
1,Somme,18.15,19.11,15.69,11.93,24.28,11.93,17.25,12.25
2,Eure,18.49,18.21,15.57,11.00,25.76,14.04,19.07,14.44
3,Seine-Maritime,19.09,15,16.56,9.42,26.46,11.54,20.37,12.23
4,Cher,19.62,15.51,17.57,9.50,26.65,11.16,20.51,10.4
5,Eure-et-Loir,19,16.48,16.05,10.14,26.18,13.63,19.68,14.23
6,Indre,18.03,15.63,15.29,9.79,24.89,10.94,19.5,10.05
7,Indre-et-Loire,17.28,12.98,14.36,7.68,26.09,10.33,20.08,10.03
8,Loir-et-Cher,17.19,16.95,14.72,10.74,24.94,13.25,18.35,12.12
9,Loiret,18.11,16.54,15.51,9.86,25.07,14.05,18.92,12.45
10,Calvados,16.82,13.28,13.57,7.65,26.54,10.1,19.07,9.76
11,Manche,16.94,13.55,13.85,7.79,26.1,9.49,18.72,8.75
12,Orne,16.65,16.35,14.14,10.39,25.6,13.11,18.17,11.77
13,Côte-d'Or,16.99,15.35,14.37,9.86,24.48,13.14,19.71,12.38
14,Nièvre,19.24,15.5,16.33,9.87,27.74,11.23,20.22,9.17
15,Saône-et-Loire,18.92,15.87,16.31,9.53,27.02,12.4,21.36,10.02
16,Yonne,19.26,18.78,16.21,11.76,26.48,14.88,20.12,13.2
17,Nord,22.12,16.76,19.18,11.01,28.88,13.36,20.26,14.11
18,Pas-de-Calais,20.13,20,17.42,13.00,26.86,12.91,18.52,11.97
19,Meurthe-et-Moselle,20.05,16.66,16.14,10.41,29.02,12.46,21.44,13.87
20,Meuse,18.27,20.72,14.84,13.70,26.78,14.35,19.58,15.44
21,Moselle,21.85,18.97,17.86,11.99,31.05,15.74,21.7,18.12
22,Vosges,17.99,19.39,15.03,13.07,26.82,14.61,18.97,15.61
23,Bas-Rhin,20.17,16.61,16.91,10.81,26.11,16.68,20.61,19.97
24,Paris,19.85,4.91,12.58,3.97,29.81,6.43,26.67,6.67
25,Seine-et-Marne,22.09,15.04,14.61,9.42,32.37,12.43,24.37,13.6
26,Yvelines,21.18,9.66,12.58,6.36,31.2,9.92,22.88,10.41
27,Essonne,20.82,11.83,12.92,7.45,31.82,10.6,23.23,10.76
28,Hauts-de-Seine,20.58,6.65,13.06,4.76,32.27,7.88,25.21,8.59
29,Seine-Saint-Denis,26.54,9.77,16.98,7.42,35.52,11.15,27.46,13.33
30,Val-de-Marne,22.5,9.04,14.44,6.18,33.15,9.36,24.51,9.86
31,Val-d'Oise,23.03,11.79,14.24,7.79,32.36,11.95,24.37,12.95
32,Ardennes,20.61,19.14,17.85,13.15,27.97,16.02,21.55,13.81
33,Aube,18.64,20.01,16.38,12.75,26.23,15.49,19.52,14.3
34,Marne,20.95,17.44,18.60,11.12,29.32,13.26,22,13.41
35,Haute-Marne,19.68,19.88,17.05,13.85,27.82,15.56,21.34,15.5
36,Aisne,19.39,20.86,16.42,14.24,26.21,15.15,18.81,13.99
37,Oise,19.07,19.92,16.49,12.30,26.18,16.3,18.63,16.26
38,Haut-Rhin,20.6,18.23,17.16,11.48,26.22,16.73,20.21,19.22
39,Doubs,17.2,15.57,14.18,10.36,23.41,14.04,18.18,12.25
40,Jura,16.42,16.71,13.81,11.31,24.14,13.31,18.46,12.17
41,Haute-Saône,16.84,20.38,14.28,13.87,23.69,16.29,18.1,13.19
42,Territoire de Belfort,19.37,18.74,15.67,12.29,23.62,16.55,18.61,14.79
